DENOM_CIA,CNPJ_CIA,ANO,ROA,LC,CTPT,ME,ML,Macro
PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,18.328.118/0001-09,2012,,,,,,
PETRO RIO S.A.,10.629.105/0001-68,2012,-0.07333505596710298,30.112668559261888,0.034302286973984915,-inf,-inf,
PETROLEO BRASILEIRO S.A. PETROBRAS,33.000.167/0001-01,2012,0.03698524087826928,1.4147470356486866,0.6449834118597462,0.1719658242712305,0.09613672658244199,
PETRORECÔNCAVO S.A.,03.342.704/0001-30,2012,,,,,,
PETTENATI S.A. INDUSTRIA TEXTIL,88.613.658/0001-10,2012,-0.01848282076609017,2.367319922590434,0.9645657500751209,0.010775938841557477,-0.018696500066355135,
PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,24.230.275/0001-80,2012,,,,,,
PLASCAR PARTICIPACOES INDUSTRIAIS S.A.,51.928.174/0001-50,2012,-0.13578120028752225,0.0010176390773405698,0.006996276405129021,-inf,-inf,
POSITIVO TECNOLOGIA S.A.,81.243.735/0001-48,2012,0.017870175748058343,1.3857134847089625,1.6395664591770411,0.04920309120128267,0.016049282300974813,
PRINER SERVIÇOS INDUSTRIAIS S.A.,18.593.815/0001-97,2012,,,,,,
PRIO S.A.,10.629.105/0001-68,2012,,,,,,
PRODUTORES ENERGET.DE MANSO S.A.- PROMAN,02.291.077/0001-93,2012,0.014654215976331361,0.3718907987866532,23.892980437284233,0.5360991379310345,0.08539870689655173,
PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,45.453.214/0001-51,2012,0.03133877395328294,1.9326159101920275,1.3079402927622081,0.02426073340896479,0.011748832165619569,
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,11.992.680/0001-93,2012,0.011143196857475425,9.82635342185904,0.0010650816462446733,inf,inf,
QUALITY SOFTWARE S.A.,35.791.391/0001-94,2012,0.022115338883379597,2.497131814088386,3.8911740237412014,0.04281438272720169,0.01342489389287293,
RAIA DROGASIL S.A.,61.585.865/0001-51,2012,0.03139196439958733,1.9621349371464052,0.4749178573904504,0.06789440224082408,0.03523296667258055,
RAIZEN ENERGIA S.A.,08.070.508/0001-78,2012,,,,,,
RANDON S.A. IMPLEMENTOS E PARTICIPACOES,89.086.144/0001-16,2012,0.015954836738633744,1.775672169370482,0.9479100340563243,0.06526462947753797,0.027394950194510454,
RECRUSUL S.A.,91.333.666/0001-17,2012,-0.12792674682999775,0.5453886254066554,16.17396657871592,-0.4718554551772064,-0.9644042931047796,
REDE ENERGIA PARTICIPAÇÕES S.A.,61.584.140/0001-49,2012,-0.4816521548506407,0.08001771602603659,-5.4936365057569985,-inf,-inf,
REFINARIA DE PETROLEOS MANGUINHOS S.A.,33.412.081/0001-96,2012,-1.290461112419215,0.12990789482224804,-1.5450844873197185,-0.21373345266652588,-0.25260984031044975,
RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.,49.669.856/0001-43,2012,0.011967414103358583,1.946902996155018,3.6771563844360595,0.1541749356045,0.018312224608988008,
RIO ENERGY PARTICIPAÇÕES S.A.,38.126.888/0001-86,2012,,,,,,
RIO PARANAPANEMA ENERGIA S.A.,02.998.301/0001-81,2012,0.07777171698442711,0.5100940831107582,0.6917040113407853,0.6961686705923305,0.29428699889772003,
